Date,Open,High,Low,Close,Adj Close,Volume
04-01-2000,6000,6110,5660,6110,4651.737793,74195000
05-01-2000,5800,6060,5520,5580,4248.232422,74680000
06-01-2000,5750,5780,5580,5620,4278.686523,54390000
07-01-2000,5560,5670,5360,5540,4217.780273,40305000
10-01-2000,5600,5770,5580,5770,4392.884766,46880000
11-01-2000,5820,6100,5770,5770,4392.884766,59745000
12-01-2000,5610,5740,5600,5720,4354.818359,29220000
13-01-2000,5600,5740,5560,5710,4347.205078,41190000
14-01-2000,5720,5880,5680,5830,4438.565918,49375000
17-01-2000,6000,6180,5920,6100,4644.125,63505000
18-01-2000,6160,6160,5980,6100,4644.125,45260000
19-01-2000,6000,6040,5960,5960,4537.538574,40205000
20-01-2000,5860,6040,5820,6040,4598.444824,37315000
21-01-2000,5950,5980,5880,5880,4476.631836,32535000
24-01-2000,5800,5900,5700,5700,4339.591309,34355000
25-01-2000,5520,5640,5440,5440,4141.645996,44250000
26-01-2000,5500,5520,5410,5480,4172.099121,29285000
27-01-2000,5480,5620,5430,5520,4202.552734,27900000
28-01-2000,5640,5880,5540,5820,4430.95166,38315000
31-01-2000,5640,5730,5560,5580,4248.232422,39630000
01-02-2000,5600,5680,5260,5320,4050.285889,71470000
02-02-2000,5220,5370,5110,5250,3996.992188,64105000
03-02-2000,5250,5460,4970,5130,3905.632813,142765000
04-02-2000,5130,5130,5130,5130,3905.632813,0
07-02-2000,5140,5330,5040,5240,3989.381104,64140000
08-02-2000,5340,5480,5310,5430,4134.033203,58460000
09-02-2000,5560,5720,5480,5720,4354.818359,51050000
10-02-2000,5660,5880,5600,5760,4385.270508,61845000
11-02-2000,5960,5960,5680,5700,4339.591309,34660000
14-02-2000,5600,5660,5340,5380,4095.96582,44140000
15-02-2000,5380,5420,5140,5200,3958.927246,38315000
16-02-2000,5180,5200,4780,5000,3806.659912,73115000
17-02-2000,4940,5100,4910,5080,3867.565918,65185000
18-02-2000,5370,5630,5160,5300,4035.05957,108750000
21-02-2000,5200,5260,5030,5070,3859.953369,26485000
22-02-2000,5000,5240,5000,5120,3898.019531,24180000
23-02-2000,5220,5260,5100,5140,3913.246338,27720000
24-02-2000,5120,5240,5060,5070,3859.953369,26075000
25-02-2000,5080,5150,4980,5120,3898.019531,27875000
28-02-2000,5000,5050,4800,4800,3654.393066,30140000
29-02-2000,4900,5140,4840,5120,3898.019531,51820000
01-03-2000,5120,5120,5120,5120,3898.019531,0
02-03-2000,5880,5880,5520,5880,4476.631836,117750000
03-03-2000,6200,6250,5880,6000,4567.991699,140990000
06-03-2000,6000,6050,5600,5640,4293.912109,39150000
07-03-2000,5600,5640,5480,5620,4278.686523,30070000
08-03-2000,5520,6000,5500,5920,4507.085938,32460000
09-03-2000,5970,5980,5620,5620,4278.686523,55890000
10-03-2000,5790,5800,5520,5540,4217.780273,28605000
13-03-2000,5480,5490,5160,5180,3943.698486,32215000
14-03-2000,5170,5380,5160,5210,3966.539307,30060000
15-03-2000,5200,5400,5120,5400,4111.191895,46105000
16-03-2000,5480,5520,5360,5400,4111.191895,28795000
17-03-2000,5540,5560,5400,5480,4172.099121,24080000
20-03-2000,5600,5710,5530,5660,4309.140625,26365000
21-03-2000,5700,5940,5610,5880,4476.631836,44925000
22-03-2000,5960,6300,5880,6200,4720.257324,86975000
23-03-2000,6480,6580,6200,6200,4720.257324,64950000
24-03-2000,6320,7120,6180,6800,5177.057129,90260000
27-03-2000,6960,7040,6700,6800,5177.057129,67730000
28-03-2000,6900,7260,6820,7030,5352.164551,74425000
29-03-2000,7030,7680,6980,7660,5831.803223,78090000
30-03-2000,7520,7560,7050,7050,5367.390625,74645000
31-03-2000,6800,7070,6650,6700,5100.924316,63855000
03-04-2000,6920,7320,6860,7100,5405.456055,56805000
04-04-2000,7000,7290,6660,6800,5177.057129,58340000
05-04-2000,6800,6800,6800,6800,5177.057129,0
06-04-2000,6860,6960,6680,6680,5085.697266,47235000
07-04-2000,6860,7260,6780,7200,5481.587402,42355000
10-04-2000,7500,7500,7200,7300,5557.723145,35885000
11-04-2000,7200,7200,6950,7100,5405.456055,29075000
12-04-2000,6960,7030,6860,6910,5260.801758,35250000
13-04-2000,6910,6910,6910,6910,5260.801758,0
14-04-2000,6600,6680,6260,6260,4765.937012,62365000
17-04-2000,5420,5750,5340,5520,4202.552734,78050000
18-04-2000,6200,6240,5860,6040,4598.444824,73730000
19-04-2000,6300,6460,5860,6000,4567.991699,60615000
20-04-2000,5960,6160,5920,6020,4583.218262,37335000
21-04-2000,6060,6180,5970,6050,4606.056641,26425000
24-04-2000,5970,6030,5760,5800,4415.726074,27830000
25-04-2000,5620,5760,5520,5640,4293.912109,34900000
26-04-2000,5820,5860,5600,5600,4263.460938,39290000
27-04-2000,5520,5700,5400,5400,4111.191895,54110000
28-04-2000,5500,6100,5460,6000,4567.991699,75530000
01-05-2000,6000,6000,6000,6000,4567.991699,0
02-05-2000,6200,6530,6120,6280,4781.164063,72335000
03-05-2000,6240,6260,6090,6180,4705.030273,26585000
04-05-2000,6220,6360,6140,6180,4705.030273,26100000
05-05-2000,6180,6180,6180,6180,4705.030273,0
08-05-2000,6400,6700,6300,6560,4994.337402,52695000
09-05-2000,6560,6560,6560,6560,4994.337402,0
10-05-2000,6320,6390,6270,6350,4834.45752,27620000
11-05-2000,6350,6350,6350,6350,4834.45752,0
12-05-2000,6420,6440,6160,6160,4689.805664,47170000
15-05-2000,6290,6530,6220,6440,4902.977539,47120000
16-05-2000,6510,6800,6510,6800,5177.057129,39620000
17-05-2000,7000,7340,6920,6920,5268.416504,76235000
18-05-2000,6740,7000,6680,6800,5177.057129,36580000
19-05-2000,6740,6900,6600,6900,5253.189453,41450000
22-05-2000,6720,6830,6620,6670,5078.083008,36385000
23-05-2000,6500,6700,6350,6380,4857.297852,41290000
24-05-2000,6160,6370,5920,6200,4720.257324,72150000
25-05-2000,6330,6380,5930,6000,4567.991699,85965000
26-05-2000,5900,5990,5600,5600,4263.460938,67100000
29-05-2000,5260,5680,5240,5460,4156.872559,67130000
30-05-2000,5460,5460,5460,5460,4156.872559,0
31-05-2000,6000,6290,5960,6160,4689.805664,83935000
01-06-2000,6200,6410,6120,6300,4796.390625,50230000
02-06-2000,6690,6900,6510,6620,5040.017578,84385000
05-06-2000,6920,6980,6680,6740,5131.377441,48010000
06-06-2000,6740,6740,6740,6740,5131.377441,0
07-06-2000,6600,6980,6510,6800,5177.057129,53365000
08-06-2000,6660,6960,6530,6530,4971.497559,58550000
09-06-2000,6600,7040,6530,7020,5344.551758,63860000
